=== so_s_21..40 ===
so_s_21 | 妈妈洗衣服 | sentorder
so_s_22 | 爸爸看报纸 | sentorder
so_s_23 | 哥哥搭积木 | sentorder
so_s_24 | 妹妹踢毽子 | sentorder
so_s_25 | 老师讲故事 | sentorder
so_s_26 | 妹妹在屋里跳舞 | sentorder
so_s_27 | 爷爷在公园打拳 | sentorder
so_s_28 | 天气真好呀 | sentorder
so_s_29 | 我把作业写完 | sentorder
so_s_30 | 大家一起做操 | sentorder
so_s_31 | 我先洗手再吃饭 | sentorder
so_s_32 | 四只小羊在坡上吃草 | sentorder
so_s_33 | 小猴子在山下爬树 | sentorder
so_s_34 | 小螃蟹在桥下吹泡泡 | sentorder
so_s_35 | 小猫先洗脸再睡觉 | sentorder
so_s_36 | 我扶奶奶下楼 | sentorder
so_s_37 | 小鸭子背小鸡过河 | sentorder
so_s_38 | 小蝴蝶飞到哪里了 | sentorder
so_s_39 | 小青蛙唱得真棒 | sentorder
so_s_40 | 小猴子先爬树再摘桃 | sentorder
=== so_w_55..116 (62) ===
so_w_55 | 妈妈 | sentorder
so_w_56 | 洗 | sentorder
so_w_57 | 衣服 | sentorder
so_w_58 | 爸爸 | sentorder
so_w_59 | 看 | sentorder
so_w_60 | 报纸 | sentorder
so_w_61 | 哥哥 | sentorder
so_w_62 | 搭 | sentorder
so_w_63 | 积木 | sentorder
so_w_64 | 妹妹 | sentorder
so_w_65 | 踢 | sentorder
so_w_66 | 毽子 | sentorder
so_w_67 | 老师 | sentorder
so_w_68 | 讲 | sentorder
so_w_69 | 故事 | sentorder
so_w_70 | 屋里 | sentorder
so_w_71 | 跳舞 | sentorder
so_w_72 | 爷爷 | sentorder
so_w_73 | 公园 | sentorder
so_w_74 | 打拳 | sentorder
so_w_75 | 天气 | sentorder
so_w_76 | 真 | sentorder
so_w_77 | 好 | sentorder
so_w_78 | 呀 | sentorder
so_w_79 | 我 | sentorder
so_w_80 | 把 | sentorder
so_w_81 | 作业 | sentorder
so_w_82 | 写完 | sentorder
so_w_83 | 大家 | sentorder
so_w_84 | 一起 | sentorder
so_w_85 | 做 | sentorder
so_w_86 | 操 | sentorder
so_w_87 | 先 | sentorder
so_w_88 | 洗手 | sentorder
so_w_89 | 再 | sentorder
so_w_90 | 吃饭 | sentorder
so_w_91 | 四只 | sentorder
so_w_92 | 小羊 | sentorder
so_w_93 | 坡上 | sentorder
so_w_94 | 吃草 | sentorder
so_w_95 | 山下 | sentorder
so_w_96 | 爬 | sentorder
so_w_97 | 树 | sentorder
so_w_98 | 小螃蟹 | sentorder
so_w_99 | 桥下 | sentorder
so_w_100 | 吹 | sentorder
so_w_101 | 泡泡 | sentorder
so_w_102 | 洗脸 | sentorder
so_w_103 | 扶 | sentorder
so_w_104 | 奶奶 | sentorder
so_w_105 | 下楼 | sentorder
so_w_106 | 背 | sentorder
so_w_107 | 过河 | sentorder
so_w_108 | 小蝴蝶 | sentorder
so_w_109 | 飞 | sentorder
so_w_110 | 到 | sentorder
so_w_111 | 哪里 | sentorder
so_w_112 | 了 | sentorder
so_w_113 | 小青蛙 | sentorder
so_w_114 | 得 | sentorder
so_w_115 | 棒 | sentorder
so_w_116 | 摘桃 | sentorder
